"Últ Atualização","Região Covid","Município","Cód","Hospital","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"30/04/2020 16:10","Santa Maria - R01 R02","Ivora","2244179","Hospital De Ivora","0","0","-","0","0"
"30/04/2020 13:16","Santa Cruz Do Sul - R28","Sinimbu","2236346","Hospital Sinimbu","0","0","-","0","0"
"29/04/2020 14:23","Porto Alegre - R09 R10","Dom Feliciano","6953689","Asdomf","0","0","-","0","0"
"28/04/2020 12:22","Caxias Do Sul - R23 R24 R25 R26","Parai","2241218","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"28/04/2020 09:41","Santa Maria - R01 R02","Mata","2244187","Hospital De Mata","0","0","-","0","0"
"13/04/2020 10:40","Santa Rosa - R14","Horizontina","2250772","Hospital Oswaldo Cruz","0","0","-","0","0"
"04/05/2020 21:02","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2255928","Hospital Monte Alverne","0","0","-","0","0"
"04/05/2020 21:02","Uruguaiana - R03","Rosario Do Sul","2248239","Hospital Auxiliadora","8","5","62.5%","0","0"
"04/05/2020 20:45","Caxias Do Sul - R23 R24 R25 R26","Guapore","2793237","Associacao Hospitalar Manoel Francisco Guerreiro","0","0","-","0","0"
"04/05/2020 20:36","Bage - R22","Bage","2261987","Santa Casa De Caridade De Bage","25","11","44%","0","1"
"04/05/2020 20:16","Caxias Do Sul - R23 R24 R25 R26","Antonio Prado","2241072","Hospital Sao Jose","0","0","-","0","0"
"04/05/2020 19:59","Caxias Do Sul - R23 R24 R25 R26","Nova Bassano","5230241","Aconsel","0","0","-","0","0"
"04/05/2020 19:59","Pelotas - R21","Pelotas","2253690","Clinicanp","5","1","20%","0","0"
"04/05/2020 19:54","Canoas - R08","Canoas","3508528","Hospital Universitario","40","21","52.5%","2","5"
"04/05/2020 19:44","Ijui - R13","Ijui","2261030","Hospital Bom Pastor Ijui","0","0","-","0","0"
"04/05/2020 19:44","Santa Rosa - R14","Girua","2260069","Hospital Sao Jose","0","0","-","0","0"
"04/05/2020 19:43","Caxias Do Sul - R23 R24 R25 R26","Vacaria","2241048","Hospital Nossa Senhora Da Oliveira","10","6","60%","0","2"
"04/05/2020 19:34","Erechim - R16","Marcelino Ramos","2249618","Associacao Hospitalar Marcelinense","0","0","-","0","0"
"04/05/2020 19:33","Palmeira Das Missoes - R15 R20","Rodeio Bonito","2228734","Hospital Sao Jose Rodeio Bonito","0","0","-","0","0"
"04/05/2020 19:17","Erechim - R16","Severiano De Almeida","2249499","Hospital Sao Roque","0","0","-","0","0"
"04/05/2020 19:15","Passo Fundo - R17 R18 R19","Maximiliano De Almeida","2247038","Hospital Sao Jose Maximiliano De Almeida","0","0","-","0","0"
"04/05/2020 19:14","Erechim - R16","Gaurama","2249545","Hospital Santa Isabel","0","0","-","0","0"
"04/05/2020 19:10","Bage - R22","Lavras Do Sul","2262029","Fundacao Medico Hospitalar","0","0","-","0","0"
"04/05/2020 18:58","Caxias Do Sul - R23 R24 R25 R26","Veranopolis","2707977","Hospital Comunitario Sao Peregrino Lazziozi","0","0","-","0","0"
"04/05/2020 18:56","Ijui - R13","Crissiumal","2708000","Hospital De Caridade De Crissiumal","0","0","-","0","0"
"04/05/2020 18:56","Santa Maria - R01 R02","Sao Vicente Do Sul","2244136","Hospital De Sao Vicente Do Sul","0","0","-","0","0"
"04/05/2020 18:39","Uruguaiana - R03","Sant'ana Do Livramento","2248220","Santa Casa De Misericordia","10","8","80%","0","0"
"04/05/2020 18:36","Novo Hamburgo - R07","Estancia Velha","2707632","Hospital Municipal Getulio Vargas","0","0","-","0","0"
"04/05/2020 18:33","Santa Rosa - R14","Campina Das Missoes","2250802","Hospital Campina","0","0","-","0","0"
"04/05/2020 18:25","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2255936","Hospital Ana Nery","7","4","57.1%","0","0"
"04/05/2020 18:25","Passo Fundo - R17 R18 R19","Marau","2246953","Hospital Cristo Redentor Marau","0","0","-","0","0"
"04/05/2020 18:25","Pelotas - R21","Pelotas","2253046","Ucpel Hospital Universitario Sao Francisco De Paula","20","15","75%","0","0"
