cnes,municipio,codigo_ibge
2244179,Ivorá,4310751
2250772,Horizontina,4309605
2244217,Formigueiro,4308409
3228630,São Marcos,4319000
9570047,Porto Alegre,4314902
2235315,Jaboticaba,4310850
2235382,Coronel Bicaco,4305900
2233355,São José Do Norte,4318507
2233312,São Lourenço Do Sul,4318804
2227932,Taquara,4321204
2246910,Não-Me-Toque,4312658
6953689,Dom Feliciano,4306502
2259982,Porto Xavier,4315107
2252023,Bom Retiro Do Sul,4302402
2228726,Três Passos,4321907
2249626,Estação,4307559
2227770,São Francisco De Paula,4318200
2244314,São Pedro Do Sul,4319406
9575936,Santa Maria,4316907
2232928,Canguçu,4304507
2260069,Giruá,4309001
2235323,Palmeira Das Missões,4313706
2259877,São Miguel Das Missões,4319158
2708000,Crissiumal,4306007
2248328,Alegrete,4300406
2248298,São Borja,4318002
5026253,Porto Alegre,4314902
6389104,Santo Antônio Da Patrulha,4317608
9142118,Erechim,4307005
2233428,Arroio Grande,4301305
2250837,Três De Maio,4321808
2241153,Gramado,4309100
2252082,Progresso,4315156
2238810,Selbach,4320305
2244187,Mata,4312104
3141330,Passo Fundo,4314100
2249529,Campinas Do Sul,4303806
2252244,Teutônia,4321451
2257564,Rolante,4316006
3378691,Constantina,4305801
2246988,Passo Fundo,4314100
2245663,Passo Fundo,4314100
2228602,Frederico Westphalen,4308508
2232081,Alvorada,4300604
2248247,Quaraí,4315305
2232170,Portão,4314803
2232103,Cachoeirinha,4303103
2237261,Porto Alegre,4314902
2232049,Gravataí,4309209
2232154,Sapiranga,4319901
2707993,Alecrim,4300307
2263874,Saldanha Marinho,4316436
5433509,Santa Maria,4316907
2252058,Boqueirão Do Leão,4302451
2232030,Esteio,4307708
2250802,Campina Das Missões,4303707
5230241,Nova Bassano,4312906
9309470,Anta Gorda,4300703
2241218,Paraí,4314001
2252171,Putinga,4315206
2257645,Garibaldi,4308607
2259974,Roque Gonzales,4316303
2232057,Novo Hamburgo,4313409
2265893,Humaitá,4309704
2233398,Santa Vitória Do Palmar,4317301
2237156,Porto Alegre,4314902
2249472,Erechim,4307005
2234475,Segredo,4320263
6011926,Bom Jesus,4302303
2793008,Tramandaí,4321600
3626245,Canoas,4304606
2261065,Santo Augusto,4317806
2266474,Cachoeira Do Sul,4303004
9728317,Caxias Do Sul,4305108
3356868,Caxias Do Sul,4305108
5384117,Tenente Portela,4321402
2236370,Venâncio Aires,4322608
2244128,Nova Palma,4313102
2223538,Caxias Do Sul,4305108
2246813,Espumoso,4307500
2244225,Tupanciretã,4322202
2234424,Arroio Do Tigre,4301206
5602742,Cambará Do Sul,4303608
2265885,Ajuricaba,4300208
2257548,Camaquã,4303509
2707918,Erechim,4307005
2263831,Quinze De Novembro,4315354
2232189,Ivoti,4310801
2236346,Sinimbu,4320677
2707950,Torres,4321501
7607547,Horizontina,4309605
2259907,Santo Ângelo,4317509
2237601,Porto Alegre,4314902
2265060,Porto Alegre,4314902
2237849,Porto Alegre,4314902
2244306,Santa Maria,4316907
7513151,Porto Alegre,4314902
2244209,Pinhal Grande,4314472
2232995,Rio Grande,4315602
2235420,Ronda Alta,4316105
2237253,Porto Alegre,4314902
2259893,São Luiz Gonzaga,4318903
2233347,Piratini,4314605
2778718,Porto Alegre,4314902
7092571,Porto Alegre,4314902
3567664,Porto Alegre,4314902
3006522,Porto Alegre,4314902
2247046,Paim Filho,4313607
2693801,Porto Alegre,4314902
2234416,Caçapava Do Sul,4302808
2246902,Não-Me-Toque,4312658
2262568,Porto Alegre,4314902
2237822,Porto Alegre,4314902
2232162,Sapucaia Do Sul,4320008
2250829,Santo Cristo,4317905
2265052,Porto Alegre,4314902
2252163,Arvorezinha,4301404
2237598,Porto Alegre,4314902
2227673,Triunfo,4322004
5395194,Sant'ana Do Livramento,4317103
2241013,Dois Lajeados,4306452
2235447,Rondinha,4316204
9131981,Marau,4311809
2263823,Cruz Alta,4306106
2233401,Jaguarão,4311007
2233371,São Lourenço Do Sul,4318804
2235366,Trindade Do Sul,4321956
2234432,Encruzilhada Do Sul,4306908
2262010,Aceguá,4300034
2228548,Caiçara,4303400
2250713,São Paulo Das Missões,4319307
2252198,Arroio Do Meio,4301008
5395674,Ibirubá,4310009
2254956,Panambi,4313904
2246996,Passo Fundo,4314100
2252287,Lajeado,4311403
2252139,Ilópolis,4310306
